,beta
가락동,0.3907394051869873
가리봉동,0.11024486050017258
가산동,0.6121455702148536
가양동,0.2409336485011205
갈월동,-0.09431434136308932
갈현동,-0.6849202308909182
강일동,0.11032660328550621
개봉동,0.012743446435395444
개포동,0.28191719570314533
거여동,0.22667613006751242
견지동,0.16911972804326747
고덕동,0.19724024147167582
고척동,0.13224677787569067
공덕동,0.5793228080946412
공릉동,0.32487679206978903
공항동,0.6096258442383268
광장동,0.15517351909625582
교남동,-0.11704605223369538
교북동,-0.33183483685420606
구기동,0.10788394317557912
구로동,0.27952685741671396
구산동,0.31566541936761805
구수동,-0.017673846614516965
구의동,0.4489785825909825
군자동,-0.297346989675875
궁동,0.3008215944739472
금호동1가,-0.22189171509399921
금호동2가,0.03744095219983811
금호동3가,-0.016337391176529065
금호동4가,-0.3319414117071171
길동,0.6906675128020053
길음동,0.02045337213223018
낙원동,0.029875487075415597
남가좌동,0.06412599137233661
남대문로5가,0.08776495670892422
남산동2가,0.05373210704976738
남창동,-0.18004050263383278
남현동,-0.29973409470224577
내곡동,0.13894504754755083
내발산동,0.3064727345425859
내수동,-0.2495829276326972
냉천동,0.07844954557154261
노고산동,0.03444043384642036
노량진동,0.017409698114678816
녹번동,0.6847648321400833
논현동,0.13112741566960545
누상동,-0.023590991614680666
능동,-0.048339365622222026
답십리동,0.06315815448117829
당산동,0.2830466713329247
당산동1가,-0.23926422019797974
당산동2가,-0.016134198911886215
당산동3가,0.3089344052943954
당산동4가,0.025650681197480076
당산동5가,0.9821654370516134
당산동6가,0.02976592165783669
당주동,-0.00550933321362327
대림동,0.6321069895219577
대방동,0.6404946409728698
대조동,0.33875466180004815
대치동,0.9079248638102843
대현동,1.0493040768863706
대흥동,0.8014592381309118
도곡동,0.1317673591642291
도림동,0.24965223412228046
도봉동,0.293502192140003
도선동,0.03484005686462896
도원동,1.1043787930219968
도화동,-0.29910462595074144
독산동,0.00018147452834842297
돈암동,-0.19214513387820312
동교동,0.25841418390149623
동빙고동,0.7721071499394374
동선동1가,0.08139465928916931
동선동3가,-0.015542289652286385
동선동4가,0.07382309379282913
동선동5가,-0.017104978212345617
동소문동4가,0.49970662294951523
동소문동5가,1.008440727063424
동소문동6가,-0.3962767281490441
동소문동7가,-0.0908240934122661
동숭동,0.0606645175692884
동자동,-0.72549532256599
동작동,0.36471410504395263
둔촌동,0.03962024122955359
등촌동,0.09873864301639079
마곡동,0.04516479182380534
마장동,0.02608048463326677
마천동,0.2739656147235895
마포동,0.06375599300257513
만리동1가,0.25205639686318
만리동2가,0.40194393666633366
망우동,0.5365886632332947
망원동,0.2786672849967419
면목동,0.044449286827052376
명륜1가,-0.09546698210431336
명륜2가,-0.657210551109013
명륜3가,-0.18774731729351987
명일동,0.142091497248662
목동,0.621898021705464
무악동,0.3880076044867976
묵동,0.14643557736021529
묵정동,0.5052635725134453
문래동2가,-0.20136394808547917
문래동3가,-0.09834008273706657
문래동4가,-0.1580589378869677
문래동5가,0.5057451803666088
문래동6가,-0.06153547562447257
문배동,3.424242169499186
문정동,0.5408403434891987
미근동,0.03915386148941919
미아동,0.06345820347777613
반포동,0.3261924392026257
방배동,0.13418012749518488
방이동,0.8178177854157371
방학동,0.26803702561219805
방화동,0.17911706766138874
번동,-0.0385017597037399
보광동,-0.16452979966248557
보문동2가,-0.04917894078694728
보문동3가,-0.11811048851658823
보문동4가,0.14449754706726867
보문동6가,-0.23912434699254745
본동,0.13691965532192077
봉천동,0.31018315941759655
부암동,0.023858936909554353
북가좌동,0.018007142625568018
북아현동,0.0621257347752546
불광동,-0.05082173984635955
사근동,-0.3053050579008455
사당동,0.11693996323361748
사직동,-0.4579307047129809
산림동,0.15685996459848772
산천동,-0.5066543116935185
삼선동2가,-0.13554582153488903
삼선동3가,-0.5778467395809196
삼선동4가,0.13386112289673682
삼선동5가,-0.3620933371641442
삼성동,-0.10554654215933561
삼전동,0.13161171591065124
상계동,0.09806926949055746
상도1동,0.13542941952469045
상도동,0.6400270274571311
상봉동,-0.6625660560801594
상수동,0.3515349729652426
상암동,0.12068708297908262
상왕십리동,0.5139263902963028
상월곡동,0.34676258503895363
상일동,0.31058832729679914
서교동,-1.0939740172989774
서빙고동,0.43649172350447063
서초동,0.922022258283057
석관동,0.07476909335447164
석촌동,0.07593906527870709
성내동,0.41678860309288174
성북동,0.5915364724658291
성북동1가,2.085935670108353
성산동,0.17497411718889322
성수동1가,-0.09777929882961166
성수동2가,0.7202338013933334
세곡동,-0.2601709425851495
송정동,0.15221413605307685
송파동,0.6855895694957651
수색동,-0.37033175071842706
수서동,-0.1167505708684528
수송동,0.43006067113013846
수유동,0.3387776978650178
순화동,1.0716141990219668
숭인동,1.503241026676234
시흥동,0.45351845087597664
신계동,-0.20421662969352714
신공덕동,0.7546807565792168
신교동,0.2149361928031987
신길동,0.5815268747786253
신내동,0.08834975123745832
신당동,0.36577898424324967
신대방동,0.21041645447892912
신도림동,0.11096492595668238
신림동,0.34114287797286147
신문로1가,0.23133636758952514
신문로2가,0.07201957762336295
신사동,0.06801336927122326
신설동,0.26136840441893683
신수동,0.4477760706810646
신영동,-0.26921493121581586
신원동,0.01743997539705242
신월동,0.02461443090117543
신정동,0.7198663700348668
신창동,0.046702029678551436
신천동,-0.1007121667658303
쌍문동,0.20821989429103435
아현동,0.013079802231131138
안암동1가,0.05812681462172054
안암동3가,-0.3893128406848012
안암동4가,-0.04233886531166958
암사동,0.3490227881626292
압구정동,-0.3426635581382351
양재동,0.8915522132823906
양평동1가,0.33831046448426144
양평동2가,0.40147561693284173
양평동3가,0.00398207712550153
양평동4가,0.8058229932963977
양평동5가,0.04854565683747594
양평동6가,-0.35581583353691676
여의도동,0.20595476698693588
역삼동,1.375412644814189
역촌동,0.04225644761322337
연건동,-0.04993117112974152
연남동,-0.23301228130474622
연지동,-0.0009178700130798187
연희동,0.8744270413356532
염리동,0.5668244592901909
염창동,0.34531810970769056
영등포동,0.10074921828927838
영등포동1가,1.667232247353961
영등포동2가,1.6174242861038204
영등포동3가,0.04519748259950962
영등포동4가,0.052478237487141026
영등포동5가,0.20612734563907892
영등포동7가,1.9715896137147084
영등포동8가,3.482222092958219
영천동,-0.10845702040838791
예장동,0.012036798813222229
오금동,1.2591041220915256
오류동,0.3095494115071648
오장동,-0.04916584080454858
옥수동,-0.2455326963532415
옥인동,-0.002674216138923529
온수동,0.8062899350827593
용강동,0.11202883910148913
용답동,-0.18498448844431783
용두동,-0.256157597407428
용문동,0.12486450737467927
용산동2가,0.041289003805771905
용산동5가,-0.23983030568646993
우면동,0.1350880486446163
우이동,-0.5709033830098703
원남동,-0.0
원효로1가,2.0232847728871217
원효로2가,0.11955981142541573
원효로3가,0.9619147395383703
원효로4가,-0.008538151878700335
월계동,0.13589977152042274
율현동,-0.09762446075634522
을지로5가,0.002232075624517265
응봉동,-0.0022602762392451275
응암동,0.1767662206620522
이문동,0.11999067398173896
이촌동,0.17430533543989873
이태원동,1.608141872106291
이화동,0.08754166149404134
익선동,0.8016565597158478
인의동,0.023238906187364846
인현동2가,0.09951011973737844
일원동,0.5084929077072171
자곡동,0.3172417148507925
자양동,-0.008562771497316088
잠실동,0.1635073634145441
잠원동,0.20844528236601353
장안동,0.46404320403800897
장위동,-0.7487217810130441
장지동,-0.20383969407375005
장충동1가,-1.8637066189114477
장충동2가,0.5618850154237544
전농동,0.38222198827793574
정동,-0.036171121890085874
정릉동,-0.0011628202851564245
제기동,-0.503002785462164
종암동,-0.013001443593805385
주성동,-0.0721437821305038
중계동,0.3421512272294889
중곡동,1.1084277710864607
중동,0.6761014219847485
중림동,-0.016925913012897705
중화동,0.2970373373731996
증산동,0.8417609151383654
진관동,0.1872971406952549
창동,0.0978504437060427
창신동,0.6275465555743565
창전동,-0.3140208924646608
창천동,0.4494027487102125
천연동,0.1893490036380323
천왕동,-0.05319257579958034
천호동,0.20881970955392715
청담동,1.201721667550076
청량리동,-0.1324116458970388
청암동,-0.28207218441937376
청운동,0.09128436984532988
청파동1가,-0.10127962615497847
청파동3가,-0.23766545680816328
충무로4가,-0.3336069818497778
충무로5가,-0.011059133722208752
충신동,-0.07766818409986033
충정로2가,-0.042939618964706626
충정로3가,-0.26722740396371025
토정동,-0.19113753700981068
통인동,0.021505097041024223
평동,0.10834609309705019
평창동,-0.9133748455910182
풍납동,0.16328043876316187
필동1가,0.2969401336890994
필동3가,0.08296408362568217
필운동,-0.3044311634190189
하계동,0.10960540802958328
하왕십리동,0.22956860453946112
하월곡동,0.11326015255238528
하중동,-0.4091540143740029
한강로1가,0.2176749775777487
한강로2가,0.04709306434044894
한강로3가,1.3322035262515028
한남동,2.467838160217852
합동,0.2240097044636905
합정동,0.7924113113908693
항동,0.316230844631197
행당동,0.04621089436051745
행촌동,-0.4479509135264376
현석동,1.0707389175015567
현저동,0.06873986022382446
혜화동,0.04754707311543261
홍은동,0.18516027804951368
홍익동,0.14395787185883976
홍제동,0.30194168119915954
홍파동,-0.21430539233686785
화곡동,0.7059836262565605
화양동,-0.4933344960879652
황학동,-0.3319876745281533
회기동,0.896944838957921
회현동1가,-2.794840228001345
회현동2가,0.2853680158988
효제동,-0.1104757551121873
효창동,0.5951438552121164
후암동,0.3287128582758775
휘경동,-0.3174396259101295
흑석동,0.041204416501944306
흥인동,0.4571318445339863
